date,revenue,to_date,
07/21/2023,"$70,503,178","$70,503,178",
07/22/2023,"$47,812,356","$118,315,534",
07/23/2023,"$43,706,510","$162,022,044",
07/24/2023,"$26,105,167","$188,127,211",
07/25/2023,"$26,003,569","$214,130,780",
07/26/2023,"$23,034,051","$237,164,831",
07/27/2023,"$21,238,020","$258,402,851",
07/28/2023,"$29,032,661","$287,435,512",
07/29/2023,"$34,586,429","$322,021,941",
07/30/2023,"$29,392,512","$351,414,453",
07/31/2023,"$15,007,589","$366,422,042",
08/01/2023,"$15,302,634","$381,724,676",
08/02/2023,"$12,852,230","$394,576,906",
08/03/2023,"$11,804,507","$406,381,413",
08/04/2023,"$16,543,731","$422,925,144",
08/05/2023,"$19,476,666","$442,401,810",
08/06/2023,"$16,988,250","$459,390,060",
08/07/2023,"$9,095,665","$468,485,725",
08/08/2023,"$9,614,345","$478,100,070",
08/09/2023,"$7,361,016","$485,461,086",
08/10/2023,"$7,147,808","$492,608,894",
08/11/2023,"$10,016,672","$502,625,566",
08/12/2023,"$13,178,714","$515,804,280",
08/13/2023,"$10,637,908","$526,442,188",
08/14/2023,"$4,810,564","$531,252,752",
08/15/2023,"$6,138,113","$537,390,865",
08/16/2023,"$4,516,517","$541,907,382",
08/17/2023,"$3,875,483","$545,782,865",
08/18/2023,"$6,358,617","$552,141,482",
08/19/2023,"$8,378,293","$560,519,775",
08/20/2023,"$6,293,418","$566,813,193",
08/21/2023,"$2,647,855","$569,461,048",
08/22/2023,"$3,400,599","$572,861,647",
08/23/2023,"$2,553,003","$575,414,650",
08/24/2023,"$2,286,592","$577,701,242",
08/25/2023,"$4,021,383","$581,722,625",
08/26/2023,"$5,403,542","$587,126,167",
08/27/2023,"$5,679,220","$592,805,387",
08/28/2023,"$1,449,073","$594,254,460",
08/29/2023,"$1,840,713","$596,095,173",
08/30/2023,"$1,487,953","$597,583,126",
08/31/2023,"$1,301,128","$598,884,254",
09/01/2023,"$2,510,354","$601,394,608",
09/02/2023,"$3,804,368","$605,198,976",
09/03/2023,"$3,900,152","$609,099,128",
09/04/2023,"$3,232,381","$612,331,509",
09/05/2023,"$901,169","$613,232,678",
09/06/2023,"$721,719","$613,954,397",
09/07/2023,"$622,460","$614,576,857",
09/08/2023,"$1,429,190","$616,006,047",
09/09/2023,"$2,558,711","$618,564,758",
09/10/2023,"$1,714,013","$620,278,771",
09/11/2023,"$445,349","$620,724,120",
09/12/2023,"$578,605","$621,302,725",
09/13/2023,"$463,023","$621,765,748",
09/14/2023,"$391,395","$622,157,143",
09/15/2023,"$1,006,119","$623,163,262",
09/16/2023,"$1,719,369","$624,882,631",
09/17/2023,"$1,096,279","$625,978,910",
09/18/2023,"$295,021","$626,273,931",
09/19/2023,"$373,862","$626,647,793",
09/20/2023,"$285,863","$626,933,656",
09/21/2023,"$316,431","$627,250,087",
09/22/2023,"$786,647","$628,036,734",
09/23/2023,"$1,461,326","$629,498,060",
09/24/2023,"$953,469","$630,451,529",
09/25/2023,"$353,156","$630,804,685",
09/26/2023,"$364,181","$631,168,866",
09/27/2023,"$276,162","$631,445,028",
09/28/2023,"$207,275","$631,652,303",
09/29/2023,"$360,468","$632,012,771",
09/30/2023,"$651,325","$632,664,096",
10/01/2023,"$412,778","$633,076,874",
10/02/2023,"$115,643","$633,192,517",
10/03/2023,"$127,837","$633,320,354",
10/04/2023,"$108,316","$633,428,670",
10/05/2023,"$98,881","$633,527,551",
10/06/2023,"$202,611","$633,730,162",
10/07/2023,"$350,413","$634,080,575",
10/08/2023,"$228,663","$634,309,238",
10/09/2023,"$151,508","$634,460,746",
10/10/2023,"$85,483","$634,546,229",
10/11/2023,"$73,048","$634,619,277",
10/12/2023,"$67,698","$634,686,975",
10/13/2023,"$121,189","$634,808,164",
10/14/2023,"$215,778","$635,023,942",
10/15/2023,"$138,697","$635,162,639",
10/16/2023,"$72,896","$635,235,535",
10/17/2023,"$76,663","$635,312,198",
10/18/2023,"$62,195","$635,374,393",
10/19/2023,"$45,638","$635,420,031",
10/20/2023,"$70,120","$635,490,151",
10/21/2023,"$108,580","$635,598,731",
10/22/2023,"$74,624","$635,673,355",
10/23/2023,"$29,411","$635,702,766",
10/24/2023,"$27,238","$635,730,004",
10/25/2023,"$33,480","$635,763,484",
