date,revenue,to_date,,,,,,,,,,,,,
03/04/2022,"$56,608,349","$56,608,349",,,,,,,,,,,,,
03/05/2022,"$43,262,039","$99,870,388",,,,,,,,,,,,,
03/06/2022,"$34,138,236","$134,008,624",,,,,,,,,,,,,
03/07/2022,"$10,824,197","$144,832,821",,,,,,,,,,,,,
03/08/2022,"$10,772,573","$155,606,394",,,,,,,,,,,,,
03/09/2022,"$8,471,060","$164,076,454",,,,,,,,,,,,,
03/10/2022,"$8,444,372","$172,520,826",,,,,,,,,,,,,
03/11/2022,"$18,614,979","$191,135,805",,,,,,,,,,,,,
03/12/2022,"$28,137,360","$219,273,165",,,,,,,,,,,,,
03/13/2022,"$19,758,882","$239,032,047",,,,,,,,,,,,,
03/14/2022,"$6,368,310","$245,400,357",,,,,,,,,,,,,
03/15/2022,"$7,104,268","$252,504,625",,,,,,,,,,,,,
03/16/2022,"$5,753,208","$258,257,833",,,,,,,,,,,,,
03/17/2022,"$5,033,039","$263,290,872",,,,,,,,,,,,,
03/18/2022,"$10,716,576","$274,007,448",,,,,,,,,,,,,
03/19/2022,"$16,004,510","$290,011,958",,,,,,,,,,,,,
03/20/2022,"$10,002,111","$300,014,069",,,,,,,,,,,,,
03/21/2022,"$2,849,108","$302,863,177",,,,,,,,,,,,,
03/22/2022,"$3,314,926","$306,178,103",,,,,,,,,,,,,
03/23/2022,"$2,812,134","$308,990,237",,,,,,,,,,,,,
03/24/2022,"$2,461,077","$311,451,314",,,,,,,,,,,,,
03/25/2022,"$5,559,671","$317,010,985",,,,,,,,,,,,,
03/26/2022,"$9,178,230","$326,189,215",,,,,,,,,,,,,
03/27/2022,"$5,734,093","$331,923,308",,,,,,,,,,,,,
03/28/2022,"$1,692,198","$333,615,506",,,,,,,,,,,,,
03/29/2022,"$1,801,038","$335,416,544",,,,,,,,,,,,,
03/30/2022,"$1,448,651","$336,865,195",,,,,,,,,,,,,
03/31/2022,"$1,335,226","$338,200,421",,,,,,,,,,,,,
04/01/2022,"$3,080,295","$341,280,716",,,,,,,,,,,,,
04/02/2022,"$4,807,714","$346,088,430",,,,,,,,,,,,,
04/03/2022,"$3,114,966","$349,203,396",,,,,,,,,,,,,
04/04/2022,"$802,156","$350,005,552",,,,,,,,,,,,,
04/05/2022,"$952,135","$350,957,687",,,,,,,,,,,,,
04/06/2022,"$801,458","$351,759,145",,,,,,,,,,,,,
04/07/2022,"$743,003","$352,502,148",,,,,,,,,,,,,
04/08/2022,"$1,781,620","$354,283,768",,,,,,,,,,,,,
04/09/2022,"$2,903,608","$357,187,376",,,,,,,,,,,,,
04/10/2022,"$1,773,237","$358,960,613",,,,,,,,,,,,,
04/11/2022,"$554,628","$359,515,241",,,,,,,,,,,,,
04/12/2022,"$574,831","$360,090,072",,,,,,,,,,,,,
04/13/2022,"$530,161","$360,620,233",,,,,,,,,,,,,
04/14/2022,"$614,888","$361,235,121",,,,,,,,,,,,,
04/15/2022,"$1,301,112","$362,536,233",,,,,,,,,,,,,
04/16/2022,"$1,557,651","$364,093,884",,,,,,,,,,,,,
