days,03/04/2022,03/05/2022,03/06/2022,03/07/2022,03/08/2022,03/09/2022,03/10/2022,03/11/2022,03/12/2022,03/13/2022,03/14/2022,03/15/2022,03/16/2022,03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022,03/24/2022,03/25/2022,03/26/2022,03/27/2022,03/28/2022,03/29/2022,03/30/2022,03/31/2022,04/01/2022,04/02/2022,04/03/2022,04/04/2022,04/05/2022,04/06/2022,04/07/2022,04/08/2022,04/09/2022,04/10/2022,04/11/2022,04/12/2022,04/13/2022,04/14/2022,04/15/2022,04/16/2022,04/17/2022,04/18/2022,04/19/2022,04/20/2022,04/21/2022,04/22/2022,04/23/2022,04/24/2022,04/25/2022,04/26/2022,04/27/2022,04/28/2022,04/29/2022,04/30/2022,05/01/2022,05/02/2022,05/03/2022,05/04/2022,05/05/2022,05/06/2022,05/07/2022,05/08/2022,05/09/2022,05/10/2022,05/11/2022,05/12/2022,05/13/2022,05/14/2022,05/15/2022,05/16/2022,05/17/2022,05/18/2022,05/19/2022,05/20/2022,05/21/2022,05/22/2022,05/23/2022,05/24/2022,05/25/2022,05/26/2022,05/27/2022,05/28/2022,05/29/2022,05/30/2022,05/31/2022,06/01/2022,06/02/2022,06/03/2022,06/04/2022,06/05/2022,06/06/2022,06/07/2022,06/08/2022,06/09/2022
Online News,1424,1009,1304,1373,748,839,833,409,474,427,477,328,220,255,286,149,274,232,205,254,375,296,212,616,402,233,219,322,367,156,368,177,200,110,116,327,143,115,259,186,157,148,206,138,393,323,284,239,136,197,105,136,255,254,399,210,143,102,107,155,124,130,124,129,96,98,210,229,287,144,168,78,65,87,71,83,100,80,70,113,246,89,95,191,171,121,68,113,228,112,125,152,110,695,191,269,494,190
QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouTube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legacy Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumblr,1409,2254,2700,2558,1965,1769,2275,1880,2243,2300,2651,1306,1053,997,899,1008,1374,1608,1323,1175,1088,782,1339,1607,941,594,744,950,780,626,605,646,677,509,369,450,1071,1122,506,3245,1323,577,377,381,516,990,1059,830,933,1152,1037,837,585,595,565,452,401,404,614,489,311,518,592,358,365,327,297,236,270,251,236,443,317,350,286,344,317,281,262,254,318,234,275,439,239,224,809,460,364,478,342,169,226,192,226,173,205,179
Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LinkedIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blogs,71,38,42,50,37,36,33,17,22,27,27,20,24,16,12,13,11,18,11,11,29,34,12,18,22,22,14,16,26,18,9,16,16,9,17,7,9,12,12,12,16,7,12,11,12,27,20,12,17,18,18,13,16,21,19,16,14,13,7,12,22,5,3,3,5,11,16,10,20,11,8,7,9,6,10,10,7,3,9,6,9,13,9,11,5,6,12,9,4,11,12,15,6,10,8,26,19,11
Forums,998,750,721,574,439,431,304,331,313,352,247,301,222,208,362,213,256,248,284,325,572,397,356,330,182,259,275,238,147,174,158,136,232,151,105,137,119,183,214,223,194,229,155,126,260,357,453,316,282,304,321,312,294,322,233,262,193,175,237,156,212,169,189,183,117,151,177,191,231,154,116,131,128,121,204,225,132,121,149,142,105,176,193,124,102,121,115,102,113,126,100,162,175,123,120,151,123,93
Facebook Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
