days,03/31/2023,04/01/2023,04/02/2023,04/03/2023,04/04/2023,04/05/2023,04/06/2023,04/07/2023,04/08/2023,04/09/2023,04/10/2023,04/11/2023,04/12/2023,04/13/2023,04/14/2023,04/15/2023,04/16/2023,04/17/2023,04/18/2023,04/19/2023,04/20/2023,04/21/2023,04/22/2023,04/23/2023,04/24/2023,04/25/2023,04/26/2023,04/27/2023,04/28/2023,04/29/2023,04/30/2023,05/01/2023,05/02/2023,05/03/2023,05/04/2023,05/05/2023,05/06/2023,05/07/2023,05/08/2023,05/09/2023,05/10/2023,05/11/2023,05/12/2023,05/13/2023,05/14/2023,05/15/2023,05/16/2023,05/17/2023,05/18/2023,05/19/2023,05/20/2023,05/21/2023,05/22/2023,05/23/2023,05/24/2023,05/25/2023,05/26/2023,05/27/2023,05/28/2023,05/29/2023,05/30/2023,05/31/2023,06/01/2023
Online News,236,76,79,76,48,36,65,31,21,26,61,25,18,15,19,6,130,114,8,10,14,12,22,12,34,11,18,12,10,7,279,57,20,4,11,6,5,160,128,8,13,13,10,1,1,17,5,7,2,7,9,2,2,4,6,3,2,7,8,23,5,3,5
QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouTube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legacy Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumblr,77,449,522,394,291,377,268,264,552,626,1159,652,638,608,360,399,538,289,264,234,164,171,226,230,192,136,89,139,96,255,174,140,127,131,116,116,141,168,194,223,214,293,191,117,130,99,92,121,138,106,168,129,77,100,81,98,73,87,133,61,92,103,51
Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LinkedIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blogs,11,2,3,8,5,4,1,1,1,4,4,1,1,1,0,1,1,2,0,0,2,0,0,1,1,0,0,1,1,0,1,3,0,1,0,0,2,2,2,0,1,0,0,2,1,2,2,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
Forums,23,25,24,17,20,10,9,13,11,12,4,10,4,4,5,6,5,10,6,5,3,5,8,4,7,2,3,2,2,2,6,10,4,7,11,22,7,11,11,2,5,2,0,7,6,10,8,2,3,6,6,2,10,1,7,1,5,4,3,3,4,4,3
Facebook Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,324,635,633,569,404,122,69,78,120,101,65,50,46,51,35,32,37,30,21,15,14,15,40,29,11,19,21,14,6,20,21,23,23,25,22,15,22,33,17,21,9,7,10,10,30,46,26,27,26,16,17,14,5,33,17,11,15,14,12,13,6,3,4
VK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Reddit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TvEyes Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4Chan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
