date,revenue,to_date
10/27/2023,"$39,645,580","$39,645,580"
10/28/2023,"$24,279,905","$63,925,485"
10/29/2023,"$16,076,235","$80,001,720"
10/30/2023,"$4,095,455","$84,097,175"
10/31/2023,"$5,249,255","$89,346,430"
11/01/2023,"$2,739,750","$92,086,180"
11/02/2023,"$2,118,180","$94,204,360"
11/03/2023,"$5,473,170","$99,677,530"
11/04/2023,"$8,636,870","$108,314,400"
11/05/2023,"$4,891,830","$113,206,230"
11/06/2023,"$1,199,770","$114,406,000"
11/07/2023,"$1,766,660","$116,172,660"
11/08/2023,"$947,635","$117,120,295"
11/09/2023,"$1,085,005","$118,205,300"
11/10/2023,"$3,029,530","$121,234,830"
11/11/2023,"$3,794,200","$125,029,030"
11/12/2023,"$2,174,995","$127,204,025"
11/13/2023,"$521,010","$127,725,035"
11/14/2023,"$589,440","$128,314,475"
11/15/2023,"$441,885","$128,756,360"
11/16/2023,"$355,360","$129,111,720"
11/17/2023,"$939,075","$130,050,795"
11/18/2023,"$1,572,025","$131,622,820"
11/19/2023,"$1,047,455","$132,670,275"
11/20/2023,"$509,960","$133,180,235"
11/21/2023,"$529,105","$133,709,340"
11/22/2023,"$484,295","$134,193,635"
11/23/2023,"$261,490","$134,455,125"
11/24/2023,"$646,885","$135,102,010"
11/25/2023,"$719,760","$135,821,770"
11/26/2023,"$362,510","$136,184,280"
11/27/2023,"$86,640","$136,270,920"
11/28/2023,"$100,805","$136,371,725"
11/29/2023,"$86,915","$136,458,640"
11/30/2023,"$58,930","$136,517,570"
12/01/2023,"$104,090","$136,621,660"
12/02/2023,"$200,505","$136,822,165"
12/03/2023,"$107,895","$136,930,060"
12/04/2023,"$33,450","$136,963,510"
12/05/2023,"$40,555","$137,004,065"
12/06/2023,"$34,045","$137,038,110"
12/07/2023,"$25,460","$137,063,570"
12/08/2023,"$26,245","$137,089,815"
12/09/2023,"$50,220","$137,140,035"
12/10/2023,"$29,250","$137,169,285"
12/11/2023,"$11,210","$137,180,495"
12/12/2023,"$15,145","$137,195,640"
12/13/2023,"$13,560","$137,209,200"
12/14/2023,"$7,190","$137,216,390"
12/15/2023,"$8,965","$137,225,355"
12/16/2023,"$17,365","$137,242,720"
12/17/2023,"$11,135","$137,253,855"
12/18/2023,"$5,030","$137,258,885"
12/19/2023,"$6,920","$137,265,805"
12/20/2023,"$5,950","$137,271,755"
12/21/2023,"$3,865","$137,275,620"
