days,10/27/2023,10/28/2023,10/29/2023,10/30/2023,10/31/2023,11/01/2023,11/02/2023,11/03/2023,11/04/2023,11/05/2023,11/06/2023,11/07/2023,11/08/2023,11/09/2023,11/10/2023,11/11/2023,11/12/2023,11/13/2023,11/14/2023,11/15/2023,11/16/2023,11/17/2023,11/18/2023,11/19/2023,11/20/2023,11/21/2023,11/22/2023,11/23/2023,11/24/2023,11/25/2023,11/26/2023,11/27/2023,11/28/2023,11/29/2023,11/30/2023,12/01/2023,12/02/2023,12/03/2023,12/04/2023,12/05/2023,12/06/2023,12/07/2023,12/08/2023,12/09/2023,12/10/2023,12/11/2023,12/12/2023,12/13/2023,12/14/2023,12/15/2023,12/16/2023,12/17/2023,12/18/2023,12/19/2023,12/20/2023,12/21/2023
Online News,271,137,162,283,169,98,51,37,45,56,96,39,31,77,38,21,21,38,24,8,15,27,25,32,18,15,9,1,7,6,8,22,9,13,18,15,7,8,10,38,4,17,5,6,7,30,16,5,20,14,10,4,7,11,4,10
QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouTube,56,46,35,30,28,16,12,16,11,30,19,4,9,18,11,6,13,6,2,7,5,1,2,6,4,3,6,0,4,4,3,7,12,3,3,5,7,1,1,6,0,0,2,2,4,3,2,1,4,0,1,0,3,4,5,5
Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legacy Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumblr,1923,3044,2040,2963,1578,1765,1022,919,1146,1173,977,860,739,667,709,1713,4062,3239,831,889,817,795,602,730,615,596,402,414,379,437,389,355,706,371,284,226,212,205,235,261,164,142,153,147,217,130,134,83,82,76,81,150,255,298,150,113
Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LinkedIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blogs,13,12,3,10,3,7,5,3,3,5,5,7,0,2,1,2,0,1,0,3,2,2,2,10,0,0,0,3,1,0,1,2,0,3,0,0,0,5,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Forums,77,51,36,37,30,38,10,15,12,17,10,10,15,9,16,10,14,9,7,9,279,4,11,17,9,3,2,7,4,2,2,5,1,1,3,3,1,0,0,1,3,5,2,1,0,1,2,0,1,0,2,2,2,6,1,1
Facebook Public,2,0,1,0,4,2,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,6175,5343,6120,4093,1150,1507,3909,1412,480,441,289,259,184,253,341,280,389,827,748,284,156,122,111,132,101,87,80,112,1122,395,210,154,90,191,174,104,78,84,71,92,79,77,340,88,61,59,41,44,33,49,48,36,39,44,219,114
VK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review,24,15,16,11,15,16,11,10,11,13,6,6,8,7,7,9,9,7,8,3,2,9,8,4,4,6,3,4,1,2,4,2,0,0,1,2,3,1,2,0,0,1,2,2,1,2,1,0,1,4,3,3,1,1,3,0
Reddit,650,722,473,307,182,333,202,239,256,192,94,171,88,64,104,62,82,98,313,66,45,36,107,72,60,42,34,41,29,36,32,48,43,33,25,379,75,33,25,16,12,33,64,43,32,22,15,31,28,13,21,8,16,44,10,13
4Chan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
