date,revenue,to_date
03/22/2024,"$1,159,058","$1,159,058"
03/23/2024,"$1,015,434","$2,174,492"
03/24/2024,"$660,375","$2,834,867"
03/25/2024,"$308,902","$3,143,769"
03/26/2024,"$351,501","$3,495,270"
03/27/2024,"$305,921","$3,801,191"
03/28/2024,"$287,567","$4,088,758"
03/29/2024,"$776,474","$4,865,232"
03/30/2024,"$871,776","$5,737,008"
03/31/2024,"$513,852","$6,250,860"
04/01/2024,"$303,710","$6,554,570"
04/02/2024,"$314,028","$6,868,598"
04/03/2024,"$272,713","$7,141,311"
04/04/2024,"$195,940","$7,337,251"
04/05/2024,"$351,442","$7,688,693"
04/06/2024,"$466,445","$8,155,138"
04/07/2024,"$272,862","$8,428,000"
04/08/2024,"$106,732","$8,534,732"
04/09/2024,"$145,128","$8,679,860"
04/10/2024,"$123,431","$8,803,291"
04/11/2024,"$77,397","$8,880,688"
04/12/2024,"$146,558","$9,027,246"
04/13/2024,"$184,448","$9,211,694"
04/14/2024,"$120,056","$9,331,750"
04/15/2024,"$47,146","$9,378,896"
04/16/2024,"$55,363","$9,434,259"
04/17/2024,"$49,461","$9,483,720"
04/18/2024,"$32,488","$9,516,208"
