date,revenue,to_date
07/21/2023,"$33,017,635","$33,017,635"
07/22/2023,"$26,248,140","$59,265,775"
07/23/2023,"$23,189,645","$82,455,420"
07/24/2023,"$12,671,950","$95,127,370"
07/25/2023,"$12,073,530","$107,200,900"
07/26/2023,"$10,655,845","$117,856,745"
07/27/2023,"$10,003,685","$127,860,430"
07/28/2023,"$13,427,475","$141,287,905"
07/29/2023,"$18,217,115","$159,505,020"
07/30/2023,"$15,061,040","$174,566,060"
07/31/2023,"$6,854,460","$181,420,520"
08/01/2023,"$6,981,975","$188,402,495"
08/02/2023,"$5,884,010","$194,286,505"
08/03/2023,"$5,582,115","$199,868,620"
08/04/2023,"$8,336,045","$208,204,665"
08/05/2023,"$11,158,205","$219,362,870"
08/06/2023,"$9,626,790","$228,989,660"
08/07/2023,"$4,750,015","$233,739,675"
08/08/2023,"$4,363,530","$238,103,205"
08/09/2023,"$3,744,420","$241,847,625"
08/10/2023,"$3,621,850","$245,469,475"
08/11/2023,"$5,079,435","$250,548,910"
08/12/2023,"$7,625,585","$258,174,495"
08/13/2023,"$6,107,950","$264,282,445"
08/14/2023,"$2,618,585","$266,901,030"
08/15/2023,"$3,123,675","$270,024,705"
08/16/2023,"$2,563,220","$272,587,925"
08/17/2023,"$2,043,810","$274,631,735"
08/18/2023,"$3,052,220","$277,683,955"
08/19/2023,"$4,330,355","$282,014,310"
08/20/2023,"$3,342,935","$285,357,245"
08/21/2023,"$1,409,670","$286,766,915"
08/22/2023,"$1,640,710","$288,407,625"
08/23/2023,"$1,339,220","$289,746,845"
08/24/2023,"$1,277,415","$291,024,260"
08/25/2023,"$2,278,125","$293,302,385"
08/26/2023,"$3,275,360","$296,577,745"
08/27/2023,"$2,667,265","$299,245,010"
08/28/2023,"$899,660","$300,144,670"
08/29/2023,"$1,112,640","$301,257,310"
08/30/2023,"$958,450","$302,215,760"
08/31/2023,"$815,240","$303,031,000"
09/01/2023,"$1,375,430","$304,406,430"
09/02/2023,"$2,063,425","$306,469,855"
09/03/2023,"$2,318,410","$308,788,265"
09/04/2023,"$1,900,260","$310,688,525"
09/05/2023,"$566,425","$311,254,950"
09/06/2023,"$475,750","$311,730,700"
09/07/2023,"$406,255","$312,136,955"
09/08/2023,"$805,650","$312,942,605"
09/09/2023,"$1,363,015","$314,305,620"
09/10/2023,"$912,095","$315,217,715"
09/11/2023,"$286,180","$315,503,895"
09/12/2023,"$394,100","$315,897,995"
09/13/2023,"$342,230","$316,240,225"
09/14/2023,"$298,890","$316,539,115"
09/15/2023,"$560,985","$317,100,100"
09/16/2023,"$935,245","$318,035,345"
09/17/2023,"$599,265","$318,634,610"
