days,07/21/2023,07/22/2023,07/23/2023,07/24/2023,07/25/2023,07/26/2023,07/27/2023,07/28/2023,07/29/2023,07/30/2023,07/31/2023,08/01/23,08/02/23,08/03/23,08/04/23,08/05/23,08/06/23,08/07/23,08/08/23,08/09/23,08/10/23,08/11/23,08/12/23,08/13/2023,08/14/2023,08/15/2023,08/16/2023,08/17/2023,08/18/2023,08/19/2023,08/20/2023,08/21/2023,08/22/2023,08/23/2023,08/24/2023,08/25/2023,08/26/2023,08/27/2023,08/28/2023,08/29/2023,08/30/2023,08/31/2023,09/01/23,09/02/23,09/03/23,09/04/23,09/05/23,09/06/23,09/07/23,09/08/23,09/09/23,09/10/23,09/11/23,09/12/23,09/13/2023,09/14/2023,09/15/2023,09/16/2023,09/17/2023,09/18/2023,09/19/2023,09/20/2023,09/21/2023,09/22/2023,09/23/2023,09/24/2023,09/25/2023,09/26/2023,09/27/2023,09/28/2023,09/29/2023,09/30/2023,10/01/23,10/02/23,10/03/23,10/04/23,10/05/23,10/06/23,10/07/23,10/08/23,10/09/23,10/10/23,10/11/23,10/12/23,10/13/2023,10/14/2023,10/15/2023,10/16/2023,10/17/2023,10/18/2023,10/19/2023,10/20/2023,10/21/2023,10/22/2023,10/23/2023,10/24/2023,10/25/2023,10/26/2023,10/27/2023,10/28/2023,10/29/2023,10/30/2023,10/31/2023,11/01/23,11/02/23,11/03/23,11/04/23,11/05/23,11/06/23,11/07/23,11/08/23,11/09/23,11/10/23,11/11/23,11/12/23,11/13/2023,11/14/2023,11/15/2023,11/16/2023,11/17/2023,11/18/2023,11/19/2023,11/20/2023,11/21/2023,11/22/2023,11/23/2023,11/24/2023,11/25/2023,11/26/2023,11/27/2023,11/28/2023,11/29/2023,11/30/2023,12/01/23,12/02/23,12/03/23,12/04/23,12/05/23,12/06/23,12/07/23
QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouTube,68,53,44,53,45,21,22,28,25,17,12,16,8,12,16,4,4,6,11,1,8,5,6,6,8,2,7,3,2,1,5,7,5,2,3,1,1,0,1,2,2,2,3,1,5,6,0,1,0,1,1,3,1,2,2,3,2,3,1,1,2,2,0,1,2,1,0,0,0,6,1,2,0,3,1,0,0,3,0,2,1,1,1,0,1,3,0,0,2,1,2,3,3,2,4,1,1,0,1,0,1,0,1,1,1,2,0,0,2,1,1,0,2,0,1,0,0,1,0,0,1,0,0,1,4,1,0,1,2,3,3,1,2,4,5,4,4,8,4,12
Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facebook,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legacy Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumblr,462,1336,1607,740,915,416,332,344,267,376,399,293,241,155,127,156,175,164,117,205,470,335,195,149,156,130,92,98,83,60,75,64,82,55,77,47,70,61,50,39,45,39,34,51,38,32,30,32,26,15,19,23,16,22,14,17,25,24,20,16,21,23,22,8,31,10,19,20,14,11,24,21,13,20,23,39,14,10,31,10,36,22,16,15,21,10,26,30,16,14,12,8,8,16,9,8,45,46,13,11,12,10,1,79,10,9,6,6,8,4,8,6,8,4,11,18,239,75,10,13,34,28,20,17,18,7,11,18,8,10,16,11,8,19,9,12,18,8,13,11
Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LinkedIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blogs,134,70,85,132,80,67,66,66,44,51,61,53,39,57,38,27,31,39,25,32,32,36,20,13,24,18,25,23,23,18,18,27,9,13,15,13,13,13,16,14,6,19,14,4,11,15,10,6,4,9,5,7,11,8,4,9,15,3,3,12,8,5,8,7,2,8,12,6,6,5,5,16,4,7,7,4,3,4,7,6,5,12,2,8,12,6,4,10,11,3,13,15,22,12,15,9,7,15,13,5,7,5,19,13,6,1,11,5,3,9,6,12,7,2,9,7,4,10,8,7,9,9,5,20,11,10,8,6,12,10,7,11,33,21,13,14,22,25,26,22
Forums,246,375,303,326,207,135,219,127,135,126,113,81,85,73,83,58,69,85,70,50,55,28,60,51,47,39,52,49,28,38,68,37,37,17,30,28,34,51,42,44,77,35,35,12,37,22,19,13,7,14,24,24,18,18,8,4,10,13,19,17,8,25,14,3,6,4,14,12,5,7,10,10,4,16,14,4,5,8,7,3,7,6,4,7,15,7,6,12,14,12,6,18,5,19,17,11,15,3,7,3,4,5,5,11,11,10,13,10,37,4,17,11,43,21,13,18,19,11,11,4,3,6,18,10,19,20,19,11,21,47,28,10,23,31,14,57,11,11,33,13
Facebook Public,60,33,25,45,14,19,18,15,7,14,11,7,3,3,2,6,6,5,2,3,1,2,4,2,4,0,2,4,1,0,7,3,2,0,2,8,2,1,3,1,1,1,0,3,1,2,3,1,0,3,4,0,1,2,1,1,0,0,1,0,1,0,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,2,0,1,0,0,2,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,2,3,0,0,2,1,4,2,0,2,0,0,2,9
X,5901,10527,6001,4472,1700,1114,874,890,885,1032,753,600,405,314,342,551,483,1699,696,222,215,313,226,374,188,132,139,287,174,124,151,117,112,174,145,987,720,146,479,764,211,85,92,316,177,104,70,61,40,85,86,63,43,44,43,72,74,79,273,274,74,51,47,36,43,62,121,115,55,66,56,54,69,707,290,92,64,96,103,75,45,39,46,98,94,105,77,85,73,55,79,116,143,250,285,194,108,145,136,102,73,72,64,52,43,60,127,183,269,64,98,218,2395,507,114,117,109,71,275,92,91,69,57,135,118,373,104,113,173,164,156,126,1487,475,185,163,2342,682,223,1212
