date,revenue,to_date,,,,,,,,,,,,
06/30/2023,"$510,078","$4,821,764",,,,,,,,,,,,
07/01/2023,"$560,814","$5,382,578",,,,,,,,,,,,
07/02/2023,"$589,806","$5,972,384",,,,,,,,,,,,
07/03/2023,"$459,094","$6,431,478",,,,,,,,,,,,
07/04/2023,"$435,672","$6,867,150",,,,,,,,,,,,
07/05/2023,"$279,554","$7,146,704",,,,,,,,,,,,
07/06/2023,"$236,466","$7,383,170",,,,,,,,,,,,
07/07/2023,"$289,905","$7,673,075",,,,,,,,,,,,
07/08/2023,"$399,765","$8,072,840",,,,,,,,,,,,
07/09/2023,"$334,712","$8,407,552",,,,,,,,,,,,
07/10/2023,"$164,441","$8,571,993",,,,,,,,,,,,
07/11/2023,"$141,222","$8,713,215",,,,,,,,,,,,
07/12/2023,"$114,443","$8,827,658",,,,,,,,,,,,
07/13/2023,"$113,345","$8,941,003",,,,,,,,,,,,
07/14/2023,"$158,885","$9,099,888",,,,,,,,,,,,
07/15/2023,"$230,098","$9,329,986",,,,,,,,,,,,
07/16/2023,"$198,657","$9,528,643",,,,,,,,,,,,
07/17/2023,"$89,098","$9,617,741",,,,,,,,,,,,
07/18/2023,"$99,766","$9,717,507",,,,,,,,,,,,
07/19/2023,"$92,985","$9,810,492",,,,,,,,,,,,
07/20/2023,"$65,403","$9,875,895",,,,,,,,,,,,
07/21/2023,"$49,098","$9,924,993",,,,,,,,,,,,
07/22/2023,"$72,174","$9,997,167",,,,,,,,,,,,
07/23/2023,"$59,542","$10,056,709",,,,,,,,,,,,
07/24/2023,"$28,765","$10,085,474",,,,,,,,,,,,
07/25/2023,"$38,679","$10,124,153",,,,,,,,,,,,
07/26/2023,"$39,723","$10,163,876",,,,,,,,,,,,
07/27/2023,"$40,674","$10,204,550",,,,,,,,,,,,
07/28/2023,"$29,712","$10,234,262",,,,,,,,,,,,
07/29/2023,"$54,533","$10,288,795",,,,,,,,,,,,
07/30/2023,"$33,034","$10,321,829",,,,,,,,,,,,
07/31/2023,"$18,953","$10,340,782",,,,,,,,,,,,
08/01/2023,"$19,664","$10,360,446",,,,,,,,,,,,
08/02/2023,"$19,823","$10,380,269",,,,,,,,,,,,
08/03/2023,"$24,450","$10,404,719",,,,,,,,,,,,
08/04/2023,"$19,675","$10,424,394",,,,,,,,,,,,
08/05/2023,"$24,308","$10,448,702",,,,,,,,,,,,
08/06/2023,"$23,541","$10,472,243",,,,,,,,,,,,
08/07/2023,"$17,896","$10,490,139",,,,,,,,,,,,
08/08/2023,"$16,343","$10,506,482",,,,,,,,,,,,
08/09/2023,"$16,166","$10,522,648",,,,,,,,,,,,
08/10/2023,"$18,777","$10,541,425",,,,,,,,,,,,
08/11/2023,"$16,102","$10,557,527",,,,,,,,,,,,
08/12/2023,"$22,123","$10,579,650",,,,,,,,,,,,
08/13/2023,"$18,522","$10,598,172",,,,,,,,,,,,
08/14/2023,"$12,347","$10,610,519",,,,,,,,,,,,
08/15/2023,"$11,833","$10,622,352",,,,,,,,,,,,
08/16/2023,"$14,565","$10,636,917",,,,,,,,,,,,
08/17/2023,"$14,120","$10,651,037",,,,,,,,,,,,
08/18/2023,"$13,098","$10,664,135",,,,,,,,,,,,
08/19/2023,"$17,655","$10,681,790",,,,,,,,,,,,
08/20/2023,"$14,908","$10,696,698",,,,,,,,,,,,
08/21/2023,"$5,987","$10,702,685",,,,,,,,,,,,
08/22/2023,"$6,754","$10,709,439",,,,,,,,,,,,
08/23/2023,"$8,965","$10,718,404",,,,,,,,,,,,
08/24/2023,"$6,547","$10,724,951",,,,,,,,,,,,
08/25/2023,"$9,121","$10,734,072",,,,,,,,,,,,
08/26/2023,"$13,222","$10,747,294",,,,,,,,,,,,
08/27/2023,"$12,559","$10,759,853",,,,,,,,,,,,
08/28/2023,"$9,279","$10,769,132",,,,,,,,,,,,
08/29/2023,"$5,720","$10,774,852",,,,,,,,,,,,
08/30/2023,"$6,573","$10,781,425",,,,,,,,,,,,
08/31/2023,"$6,294","$10,787,719",,,,,,,,,,,,
09/01/2023,"$8,365","$10,796,084",,,,,,,,,,,,
09/02/2023,"$11,212","$10,807,296",,,,,,,,,,,,
09/03/2023,"$12,341","$10,819,637",,,,,,,,,,,,
