days,06/30/2023,07/01/2023,07/02/2023,07/03/2023,07/04/2023,07/05/2023,07/06/2023,07/07/2023,07/08/2023,07/09/2023,07/10/2023,07/11/2023,07/12/2023,07/13/2023,07/14/2023,07/15/2023,07/16/2023,07/17/2023,07/18/2023,07/19/2023,07/20/2023,07/21/2023,07/22/2023,07/23/2023,07/24/2023,07/25/2023,07/26/2023,07/27/2023,07/28/2023,07/29/2023,07/30/2023,07/31/2023,08/01/2023,08/02/2023,08/03/2023,08/04/2023,08/05/2023,08/06/2023,08/07/2023,08/08/2023,08/09/2023,08/10/2023,08/11/2023,08/12/2023,08/13/2023,08/14/2023,08/15/2023,08/16/2023,08/17/2023,08/18/2023,08/19/2023,08/20/2023,08/21/2023,08/22/2023,08/23/2023,08/24/2023,08/25/2023,08/26/2023,08/27/2023,08/28/2023,08/29/2023,08/30/2023,08/31/2023,09/01/2023,09/02/2023,09/03/2023,09/04/2023,09/05/2023,09/06/2023,09/07/2023,09/08/2023,09/09/2023,09/10/2023,09/11/2023,09/12/2023,09/13/2023,09/14/2023,09/15/2023,09/16/2023,09/17/2023,09/18/2023,09/19/2023,09/20/2023,09/21/2023,09/22/2023,09/23/2023,09/24/2023,09/25/2023,09/26/2023,09/27/2023,09/28/2023,09/29/2023,09/30/2023,10/01/2023,10/02/2023,10/03/2023,10/04/2023,10/05/2023,10/06/2023,10/07/2023,10/08/2023,10/09/2023,10/10/2023,10/11/2023,10/12/2023
Online News,79,309,73,71,45,64,137,71,39,30,43,49,54,48,46,19,41,46,38,36,26,33,23,33,27,36,53,32,30,23,20,46,31,60,64,35,30,19,18,22,34,20,19,22,52,27,44,51,22,49,9,8,32,24,242,67,87,24,49,40,27,56,39,105,42,51,50,69,43,79,90,39,59,119,46,86,87,48,43,47,54,168,85,39,56,20,26,21,31,18,59,89,57,38,56,85,91,88,89,64,60,52,66,51,141
QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouTube,1,0,0,0,0,1,0,1,1,1,1,1,0,2,2,0,0,0,0,3,0,0,1,0,1,2,2,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,3,0,1,2,1,0,1,1,1,0,0,2,2,0,0,2,0,0,0,0,0,3,1,2,1,1,0,1,1,1,2,7,4,2,0,1,3,1,2,1,0,0,1,0,0
Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legacy Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumblr,104,120,71,77,78,86,80,77,62,75,88,69,54,56,91,238,277,113,61,61,91,75,83,115,152,97,87,142,76,131,96,196,120,144,149,120,208,127,163,120,99,109,118,125,119,132,97,89,70,114,124,113,102,92,98,125,140,91,104,143,105,72,87,88,82,100,96,72,184,109,111,118,63,169,112,131,92,60,170,164,126,148,144,104,83,71,120,88,114,110,79,50,83,89,67,101,74,118,139,83,118,106,77,66,105
Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LinkedIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blogs,16,11,19,11,6,9,17,11,15,11,8,11,8,7,21,7,7,11,12,8,12,12,4,9,11,14,10,9,11,10,6,14,16,4,8,7,6,9,11,3,9,5,11,3,9,13,11,14,4,9,10,5,9,5,7,10,12,5,6,6,13,8,11,11,7,7,6,13,10,7,15,6,7,14,11,13,13,7,6,11,4,7,10,9,6,2,7,8,7,8,6,9,4,6,6,7,6,11,16,2,3,3,6,7,9
Forums,19,27,12,28,24,15,15,14,10,9,17,25,28,15,11,17,15,8,6,12,12,12,8,16,12,15,14,11,9,11,24,12,13,8,16,10,8,4,5,31,12,8,6,11,13,8,6,15,10,13,6,10,14,22,33,21,26,11,18,20,26,13,20,8,9,11,15,15,12,14,13,22,22,8,8,12,12,23,9,14,23,27,17,34,21,10,11,15,7,11,13,13,16,14,3,10,5,19,13,15,5,11,43,10,9
Facebook Public,5,0,2,3,4,5,5,6,4,2,4,2,1,0,0,2,0,0,2,1,1,3,0,0,0,1,0,0,2,1,1,0,2,1,5,3,2,0,0,0,1,3,0,3,0,1,0,6,2,4,0,2,9,7,5,9,4,5,1,7,3,7,1,7,5,5,8,7,0,7,4,8,0,1,2,1,3,2,1,1,2,4,4,0,2,2,2,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0
X,774,244,263,213,156,111,291,222,147,141,156,121,63,59,48,100,135,262,85,47,71,79,69,189,117,68,64,46,42,45,37,32,23,58,53,21,33,71,24,35,39,27,107,43,29,29,50,66,24,44,25,31,34,603,467,202,172,147,150,200,138,108,285,183,169,184,180,117,99,155,238,214,157,151,120,125,119,141,105,124,111,157,237,144,107,113,132,222,152,71,73,86,76,119,65,53,78,88,54,73,136,98,77,104,105
VK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
