date,revenue,to_date
11/03/2023,"$1,943,167","$2,168,687"
11/04/2023,"$1,807,145","$3,975,832"
11/05/2023,"$1,289,691","$5,265,523"
11/06/2023,"$543,600","$5,809,123"
11/07/2023,"$833,067","$6,642,190"
11/08/2023,"$591,447","$7,233,637"
11/09/2023,"$702,525","$7,936,162"
11/10/2023,"$1,636,173","$9,572,335"
11/11/2023,"$1,734,343","$11,306,678"
11/12/2023,"$1,231,384","$12,538,062"
11/13/2023,"$495,810","$13,033,872"
11/14/2023,"$684,690","$13,718,562"
11/15/2023,"$519,420","$14,237,982"
11/16/2023,"$417,897","$14,655,879"
11/17/2023,"$731,612","$15,387,491"
11/18/2023,"$921,831","$16,309,322"
11/19/2023,"$672,937","$16,982,259"
11/20/2023,"$444,094","$17,426,353"
11/21/2023,"$362,324","$17,788,677"
11/22/2023,"$293,388","$18,082,065"
11/23/2023,"$220,041","$18,302,106"
11/24/2023,"$465,594","$18,767,700"
11/25/2023,"$479,562","$19,247,262"
11/26/2023,"$305,675","$19,552,937"
11/27/2023,"$122,245","$19,675,182"
11/28/2023,"$161,576","$19,836,758"
11/29/2023,"$132,876","$19,969,634"
11/30/2023,"$79,944","$20,049,578"
12/01/2023,"$99,995","$20,149,573"
12/02/2023,"$132,993","$20,282,566"
12/03/2023,"$102,405","$20,384,971"
12/04/2023,"$45,765","$20,430,736"
12/05/2023,"$62,341","$20,493,077"
12/06/2023,"$47,094","$20,540,171"
12/07/2023,"$36,549","$20,576,720"
12/08/2023,"$35,675","$20,612,395"
12/09/2023,"$46,675","$20,659,070"
12/10/2023,"$39,552","$20,698,622"
12/11/2023,"$17,888","$20,716,510"
12/12/2023,"$23,306","$20,739,816"
12/13/2023,"$18,065","$20,757,881"
12/14/2023,"$13,428","$20,771,309"
12/15/2023,"$15,677","$20,786,986"
12/16/2023,"$18,965","$20,805,951"
12/17/2023,"$16,765","$20,822,716"
12/18/2023,"$10,212","$20,832,928"
12/19/2023,"$12,109","$20,845,037"
12/20/2023,"$12,223","$20,857,260"
12/21/2023,"$7,650","$20,864,910"
12/22/2023,"$5,643","$20,870,553"
12/23/2023,"$4,221","$20,874,774"
12/24/2023,"$2,876","$20,877,650"
12/25/2023,"$2,811","$20,880,461"
12/26/2023,"$3,206","$20,883,667"
12/27/2023,"$4,121","$20,887,788"
12/28/2023,"$3,907","$20,891,695"
12/29/2023,"$2,767","$20,894,462"
12/30/2023,"$3,907","$20,898,369"
12/31/2023,"$2,123","$20,900,492"
01/01/2024,"$4,459","$20,904,951"
01/02/2024,"$2,118","$20,907,069"
01/03/2024,"$3,098","$20,910,167"
01/04/2024,"$2,164","$20,912,331"
01/05/2024,"$6,145","$20,918,476"
01/06/2024,"$3,218","$20,921,694"
01/07/2024,"$2,976","$20,924,670"
01/08/2024,"$1,006","$20,925,676"
01/09/2024,"$1,768","$20,927,444"
01/10/2024,$907,"$20,928,351"
01/11/2024,"$1,966","$20,930,317"
01/12/2024,"$1,675","$20,931,992"
01/13/2024,"$1,753","$20,933,745"
01/14/2024,"$2,097","$20,935,842"
01/15/2024,"$2,346","$20,938,188"
01/16/2024,$765,"$20,938,953"
01/17/2024,$432,"$20,939,385"
01/18/2024,$806,"$20,940,191"
01/19/2024,"$1,098","$20,941,289"
01/20/2024,"$1,965","$20,943,254"
01/21/2024,$945,"$20,944,199"
01/22/2024,$290,"$20,944,489"
01/23/2024,$865,"$20,945,354"
01/24/2024,$270,"$20,945,624"
01/25/2024,$954,"$20,946,578"
01/26/2024,"$1,564","$20,948,142"
01/27/2024,"$1,522","$20,949,664"
01/28/2024,"$1,591","$20,951,255"
01/29/2024,$287,"$20,951,542"
01/30/2024,$190,"$20,951,732"
01/31/2024,$995,"$20,952,727"
02/01/2024,$553,"$20,953,280"
02/02/2024,$997,"$20,954,277"
02/03/2024,"$1,835","$20,956,112"
02/04/2024,"$1,094","$20,957,206"
02/05/2024,$105,"$20,957,311"
02/06/2024,$198,"$20,957,509"
02/07/2024,$285,"$20,957,794"
02/08/2024,$260,"$20,958,054"
02/09/2024,$907,"$20,958,961"
02/10/2024,$871,"$20,959,832"
02/11/2024,$744,"$20,960,576"
02/12/2024,$121,"$20,960,697"
02/13/2024,$97,"$20,960,794"
02/14/2024,$145,"$20,960,939"
